sheet,category,code,name,tier,unit_price,hours,equipment,hourly_rate,material_mark_up,description
HVAC,Freeze Stat,ACR0240,Install a freeze stat,RUMI,199.32,0.1,60.38,865.00,92.89,Supply new or replace exisitng freeze stat on coil
HVAC,Refrigerant Side Accessories,ACR0240,Liquid Line Filter Drier,MEMBER,2413.43,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new, includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Liquid Line Filter Drier,STANDARD,2681.58,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new, includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Liquid Line Filter Drier,RUMI,2979.54,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new, includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Suction Line Filter Drier,MEMBER,2413.43,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new,  includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Suction Line Filter Drier,STANDARD,2681.58,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new,  includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Suction Line Filter Drier,RUMI,2979.54,3,56.28,865.00,86.58,"Replace liquid line filter drier w/new,  includes evacuation & recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Line Access Valve,MEMBER,2357.24,3,15.70,865.00,24.15,"Pump down refrigerant to condenser, install new valve tap, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Line Access Valve,STANDARD,2619.15,3,15.70,865.00,24.15,"Pump down refrigerant to condenser, install new valve tap, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Line Access Valve,RUMI,2910.17,3,15.70,865.00,24.15,"Pump down refrigerant to condenser, install new valve tap, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Sight Glass,MEMBER,2399.86,3,46.48,865.00,71.51,"Pump down refrigerant to condenser, install new sight glass, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Sight Glass,STANDARD,2666.51,3,46.48,865.00,71.51,"Pump down refrigerant to condenser, install new sight glass, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,Refrigerant Sight Glass,RUMI,2962.79,3,46.48,865.00,71.51,"Pump down refrigerant to condenser, install new sight glass, evacuate, leak test, and recharge."
HVAC,Refrigerant Side Accessories,ACR0240,High/Low Pressure Switch,MEMBER,2383.48,3,34.65,865.00,53.31,"Replace high or low pressure switch, includes pump down & evacuation."
HVAC,Refrigerant Side Accessories,ACR0240,High/Low Pressure Switch,STANDARD,2648.31,3,34.65,865.00,53.31,"Replace high or low pressure switch, includes pump down & evacuation."
HVAC,Refrigerant Side Accessories,ACR0240,High/Low Pressure Switch,RUMI,2942.56,3,34.65,865.00,53.31,"Replace high or low pressure switch, includes pump down & evacuation."
HVAC,Refrigerant Metering Device,ACR0240,Replace Thermostatic Expansion Valve with New,MEMBER,1544.55,1.75,131.57,865.00,202.42,"Pump down refrigerant to condenser, replace thermal expansion valve, evacuate, leak test, and recharge."
HVAC,Refrigerant Metering Device,ACR0240,Replace Thermostatic Expansion Valve with New,STANDARD,1716.17,1.75,131.57,865.00,202.42,"Pump down refrigerant to condenser, replace thermal expansion valve, evacuate, leak test, and recharge."
HVAC,Refrigerant Metering Device,ACR0240,Replace Thermostatic Expansion Valve with New,RUMI,1906.85,1.75,131.57,865.00,202.42,"Pump down refrigerant to condenser, replace thermal expansion valve, evacuate, leak test, and recharge."
HVAC,Contactors,ACR0240,30 Amp Single Pole Contactor,MEMBER,616.69,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,30 Amp Single Pole Contactor,STANDARD,685.22,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,30 Amp Single Pole Contactor,RUMI,761.35,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Single Pole Contactor,MEMBER,786.81,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Single Pole Contactor,STANDARD,874.23,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Single Pole Contactor,RUMI,971.37,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,30 Amp Double Pole Contactor,MEMBER,616.69,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,30 Amp Double Pole Contactor,STANDARD,685.22,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,30 Amp Double Pole Contactor,RUMI,761.35,0.6,108.04,865.00,166.22,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Double Pole Contactor,MEMBER,786.81,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Double Pole Contactor,STANDARD,874.23,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Contactors,ACR0240,40 Amp Double Pole Contactor,RUMI,971.37,0.6,248.66,865.00,355.23,Remove defective contactor and replace with new premium quality contactor with 1 yr warranty.
HVAC,Relays & Switches,ACR0240,Relay 24V Coil,MEMBER,613.64,0.75,21.50,865.00,33.08,Replace defective double pole double throw relay with new and rewire
HVAC,Relays & Switches,ACR0240,Relay 24V Coil,STANDARD,681.83,0.75,21.50,865.00,33.08,Replace defective double pole double throw relay with new and rewire
HVAC,Relays & Switches,ACR0240,Relay 24V Coil,RUMI,757.59,0.75,21.50,865.00,33.08,Replace defective double pole double throw relay with new and rewire
HVAC,Relays & Switches,ACR0240,Time Delay Relay,MEMBER,625.47,0.75,30.04,865.00,46.22,Install new time delay relay for short cycle protection
HVAC,Relays & Switches,ACR0240,Time Delay Relay,STANDARD,694.97,0.75,30.04,865.00,46.22,Install new time delay relay for short cycle protection
HVAC,Relays & Switches,ACR0240,Time Delay Relay,RUMI,772.18,0.75,30.04,865.00,46.22,Install new time delay relay for short cycle protection
HVAC,Relays & Switches,ACR0240,Current Relay,MEMBER,611.12,0.75,19.68,865.00,30.28,Install new current relay
HVAC,Relays & Switches,ACR0240,Current Relay,STANDARD,679.03,0.75,19.68,865.00,30.28,Install new current relay
HVAC,Relays & Switches,ACR0240,Current Relay,RUMI,754.47,0.75,19.68,865.00,30.28,Install new current relay
HVAC,Relays & Switches,ACR0240,Condenser Low Ambient Control,MEMBER,172.32,0.2,12.00,865.00,18.46,Install new low ambient
HVAC,Relays & Switches,ACR0240,Condenser Low Ambient Control,STANDARD,191.46,0.2,12.00,865.00,18.46,Install new low ambient
HVAC,Relays & Switches,ACR0240,Condenser Low Ambient Control,RUMI,212.74,0.2,12.00,865.00,18.46,Install new low ambient
HVAC,Relays & Switches,ACR0240,Freeze Stat Control,MEMBER,395.00,0.4,60.38,865.00,92.89,Install freeze stat on coil
HVAC,Relays & Switches,ACR0240,Freeze Stat Control,STANDARD,438.89,0.4,60.38,865.00,92.89,Install freeze stat on coil
HVAC,Relays & Switches,ACR0240,Freeze Stat Control,RUMI,487.66,0.4,60.38,865.00,92.89,Install freeze stat on coil
HVAC,Run Capacitors (Single),ACR0240,3 to 10 MFD Run Capacitor,MEMBER,276.94,0.3,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,3 to 10 MFD Run Capacitor,STANDARD,307.72,0.3,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,3 to 10 MFD Run Capacitor,RUMI,341.91,0.3,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,12.5 to 20 MFD Run Capacitor,MEMBER,288.21,0.3,39.48,865.00,60.74,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,12.5 to 20 MFD Run Capacitor,STANDARD,320.24,0.3,39.48,865.00,60.74,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,12.5 to 20 MFD Run Capacitor,RUMI,355.82,0.3,39.48,865.00,60.74,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,25 to 35 MFD Run Capacitor,MEMBER,328.98,0.3,68.92,865.00,106.03,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,25 to 35 MFD Run Capacitor,STANDARD,365.53,0.3,68.92,865.00,106.03,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,25 to 35 MFD Run Capacitor,RUMI,406.15,0.3,68.92,865.00,106.03,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,40 to 55 MFD Run Capacitor,MEMBER,354.95,0.3,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,40 to 55 MFD Run Capacitor,STANDARD,394.39,0.3,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Single),ACR0240,40 to 55 MFD Run Capacitor,RUMI,438.21,0.3,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,15/5 to 30/5 MFD Dual Capacitor,MEMBER,315.87,0.35,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,15/5 to 30/5 MFD Dual Capacitor,STANDARD,350.97,0.35,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,15/5 to 30/5 MFD Dual Capacitor,RUMI,389.96,0.35,31.34,865.00,48.22,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,35/5 to 45/5 MFD Run Capacitor,MEMBER,327.38,0.35,39.65,865.00,61.00,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,35/5 to 45/5 MFD Run Capacitor,STANDARD,363.75,0.35,39.65,865.00,61.00,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,35/5 to 45/5 MFD Run Capacitor,RUMI,404.17,0.35,39.65,865.00,61.00,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,50/5 to 60/5 MFD Run Capacitor,MEMBER,393.88,0.35,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,50/5 to 60/5 MFD Run Capacitor,STANDARD,437.64,0.35,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,50/5 to 60/5 MFD Run Capacitor,RUMI,486.27,0.35,87.68,865.00,134.89,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,Turbo 200 Universal Capacitor,MEMBER,479.68,0.35,149.65,865.00,230.23,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,Turbo 200 Universal Capacitor,STANDARD,532.98,0.35,149.65,865.00,230.23,Replace defective capacitor w/new
HVAC,Run Capacitors (Dual),ACR0240,Turbo 200 Universal Capacitor,RUMI,592.20,0.35,149.65,865.00,230.23,Replace defective capacitor w/new
HVAC,Start Assist Kits,ACR0240,Start Assist Kit up to 3 Tons,MEMBER,444.07,0.5,39.59,865.00,60.91,Install new hard start kit to assist in starting a compressor that will not start under normal conditions.  It prevents high am draws which may trip breakers.
